Time,Y_t (Power) [MWh],X_t
2011-01-01,101.64973950952516,-1.0984670225504212
2011-02-01,147.59137906100884,-0.7255524969851486
2011-03-01,157.2669803458861,-0.6620551271275154
2011-04-01,142.89589450026205,-0.7578836453560905
2011-05-01,355.1537534054347,0.15255080389546227
2011-06-01,537.0834740250555,0.5661535275403607
2011-07-01,609.8961002971043,0.693288615278205
2011-08-01,630.4720803724607,0.7264688726996265
2011-09-01,628.6972698353354,0.7236498528240524
2011-10-01,507.35472307754355,0.5092104099900163
2011-11-01,374.7725505808768,0.2063193101712689
2011-12-01,280.562570738591,-0.08320323132656965
